001.png,002.png,003.png,004.png,005.png,006.png,007.png,008.png,009.png,010.png,011.png,012.png,013.png,014.png,015.png,016.png,017.png,018.png,019.png,020.png,021.png,022.png,023.png,024.png,025.png,026.png,027.png,028.png,029.png,030.png,031.png,032.png,033.png,034.png,035.png,036.png,037.png,038.png,039.png,040.png,041.png,042.png,043.png,044.png,045.png,046.png,047.png,048.png,049.png,050.png,051.png,052.png,053.png,054.png,055.png,056.png,057.png,058.png,059.png,060.png,061.png,062.png,063.png,064.png,065.png,066.png,067.png,068.png,069.png,070.png,071.png,072.png,073.png,074.png,075.png,076.png,077.png,078.png,079.png,080.png,081.png,082.png,083.png
4.2cm,10.350000000000001cm,15.8cm,2.6142857142857143cm,2.2cm,2.6500000000000004cm,2.3600000000000003cm,4.266666666666667cm,3.3000000000000003cm,4.0cm,1.3625cm,3.1833333333333336cm,5.050000000000001cm,0.7666666666666667cm,1.6cm,3.8000000000000003cm,10.600000000000001cm,12.0cm,5.25cm,13.0cm,27.6cm,23.700000000000003cm,19.400000000000002cm,7.933333333333334cm,4.2cm,2.7333333333333334cm,4.800000000000001cm,4.9cm,10.4cm,4.6000000000000005cm,14.666666666666666cm,2.4312500000000004cm,1.0444444444444445cm,3.45cm,8.425cm,1.671875cm,4.525cm,1.4555555555555557cm,3.3000000000000003cm,0.9076923076923077cm,3.7cm,8.75cm,0.87cm,0.7200000000000001cm,0.8060606060606061cm,1.6529411764705886cm,1.151851851851852cm,1.1238095238095238cm,0.37368421052631584cm,1.1157894736842104cm,3.3000000000000003cm,1.3692307692307693cm,1.9333333333333333cm,1.4500000000000002cm,2.5500000000000003cm,2.5500000000000003cm,3.466666666666667cm,1.0363636363636364cm,1.4333333333333336cm,5.755555555555556cm,3.871428571428572cm,2.9571428571428573cm,5.233333333333334cm,4.275cm,8.75cm,9.175cm,1.7000000000000002cm,3.4136363636363636cm,5.433333333333334cm,1.34cm,17.1cm,31.5cm,6.75cm,2.0153846153846153cm,7.4cm,31.5cm,4.414285714285715cm,3.25cm,3.9444444444444446cm,6.633333333333333cm,0.8465753424657534cm,4.2cm,10.3cm
26.082644544928982,47.268725076751366,32.46216694939119,8.300887712299172,46.10385368138153,24.221006434957403,11.132978593959027,19.716968306244876,43.78003806463948,44.984820685436105,7.057898715899464,13.647792775724463,21.16092138154684,5.557636125270758,41.10737980120232,39.62235954869507,10.289974161981993,45.97815910921735,13.312355644826264,63.222661388629156,57.64780599715091,44.632155606888084,23.0122323510526,13.674065924540182,25.900769288188055,16.73534481821557,41.1712721009476,34.13372990429612,52.1244904438635,50.65294383189476,21.397832116849482,4.948074963868805,7.209966597964865,11.731367664788998,41.17563867345764,8.116243529040856,14.481637080316448,6.276443359503093,56.71473557715992,6.24045571615717,29.825716201602923,16.22292189741708,4.199539770522796,3.000968454339524,2.5111131150348887,6.129405546150797,3.4081461083217928,3.676166729285282,1.804759423921625,3.7361372891271527,36.921539438636955,4.191124355931038,16.352193828688282,13.683861241701955,21.968645537842605,18.535804101181977,6.649053324414612,4.695995571605713,18.50172536491226,8.22967735274582,9.448236548750714,8.492844103301048,12.32383802029364,18.31172799936624,16.22292189741708,21.44751132033165,18.6359522495473,6.843344470099927,18.569776575485104,9.570214882458986,35.49674523697171,39.69544650058614,22.994393207495456,5.854457127473209,15.13786766640265,75.52271742437978,8.08706555809884,7.313079426081083,7.2780983602612475,19.195057590715763,1.4733844767870368,18.982976653009448,22.827554220780005
0.021325196342343755,-1.4911981061215402,-0.016490923601152674,-0.32478089460310944,1.566593924917467,-0.04780284400855728,-0.24492270832430774,-0.033059630466860224,-1.5367497468055729,-1.5237297677867738,-0.3084302062229359,0.07628837775353854,1.3199557658085344,-0.32180069946948664,1.5547599930363316,1.5159116369384706,0.04206200684537986,-1.2794621622978333,0.34985003230874073,-1.2644103214364681,1.1066420030704416,1.341925345201114,1.3006605270443432,-0.6215053049395008,1.449828921823002,-0.4385593943335679,1.5096428410471856,1.5413837003284663,-1.5509664650781971,-1.5592934898016435,-0.004108828829615089,-0.07488969017417149,-0.10249258911581036,-0.31836023248017026,0.10169740348395662,0.1253882764791887,0.41937030135529973,0.7036189644738652,1.5186028946461403,-0.0872226647968517,1.5442020307108197,0.22542502725326097,0.19823693791745373,0.3561856096309976,-0.49555212497374224,-0.055871802367801836,-0.24410387518730103,-0.2805978591334838,0.2187242423782656,0.1782019176229573,1.5637914010437193,-0.37555022700950513,-0.46602448467483804,-1.1751855046635113,-1.534180896025374,-1.3241321455396458,0.995226756462345,0.26694437652206554,0.3869266731254255,-0.3481600301961503,-0.5734155617111829,0.521370073551702,-0.016704529822020902,1.2415412095138827,0.22542502725326097,0.31800922700524864,-1.2021682510212166,-0.032180249875288024,-0.17891808707394988,0.3182967950830561,0.6014385779939786,-0.7808962715179213,0.0010638752792778705,0.0983610815815139,-0.4047023736332978,1.2045116752663432,-0.12304488183139421,-0.2719723959939813,0.2483494106558704,0.86278117576706,-0.13901619664445292,-1.1500726892265765,0.866550353662914
51497.09209379771cm^3,164025.62494849158cm^3,55549.115248447226cm^3,18592.572858996744cm^3,98400.49876030862cm^3,47736.81903260115cm^3,15679.499212188834cm^3,52518.33114677972cm^3,117540.97145714155cm^3,105241.00866793684cm^3,9451.859171175409cm^3,80591.68528492388cm^3,117195.21754456818cm^3,8068.877287301004cm^3,40828.752574163984cm^3,62448.35844536876cm^3,15398.812092359056cm^3,107881.54379068194cm^3,41652.01496178226cm^3,101309.40844019754cm^3,182651.853272645cm^3,217587.2581239313cm^3,315234.9049340363cm^3,58632.46532807159cm^3,38113.882992591614cm^3,29179.34203948781cm^3,109681.85406598763cm^3,144339.2831230248cm^3,117277.11049868772cm^3,106272.75496381789cm^3,53977.05160717083cm^3,10129.52017241035cm^3,10720.099375429676cm^3,23868.240224501686cm^3,154609.5045731242cm^3,48314.30494190217cm^3,35433.54547514042cm^3,9804.221100722962cm^3,67707.48145106033cm^3,14758.526390371202cm^3,144607.1624451504cm^3,29755.85662947432cm^3,3959.079175081059cm^3,6535.245297868354cm^3,3964.8499537544553cm^3,12452.1764146925cm^3,5530.707412757529cm^3,5815.87355787423cm^3,1009.4641755100816cm^3,5377.558189031119cm^3,143924.65003537308cm^3,6699.376803249651cm^3,25814.047881855582cm^3,97278.88941064512cm^3,66634.65495033129cm^3,18371.076316837483cm^3,8887.678126056313cm^3,5494.344608468577cm^3,20497.331887413402cm^3,23222.155924411276cm^3,17112.56694967244cm^3,11323.550013359232cm^3,20773.674423062243cm^3,33324.67434009122cm^3,29755.85662947432cm^3,36799.61879423187cm^3,46439.4583649956cm^3,26811.457137229667cm^3,39388.758413736825cm^3,12110.867730852988cm^3,136254.12473430403cm^3,107683.1288761237cm^3,55598.24678900829cm^3,11729.350554601479cm^3,39762.28656051019cm^3,146946.5361462373cm^3,31280.942228688895cm^3,15673.928704801132cm^3,6009.144730370772cm^3,66177.11529153661cm^3,4871.897156120082cm^3,29911.68592585423cm^3,60718.36432054732cm^3
27.42%,21.96%,27.42%,27.71%,27.46%,28.31%,34.53%,24.94%,24.03%,24.88%,36.64%,19.69%,22.02%,34.13%,37.61%,28.14%,25.93%,25.97%,23.01%,30.12%,19.89%,16.46%,9.47%,16.63%,32.30%,28.88%,22.52%,17.96%,24.29%,25.44%,23.12%,31.62%,37.78%,34.32%,22.40%,33.12%,32.08%,34.99%,37.78%,33.12%,15.10%,28.14%,39.41%,46.19%,44.56%,34.82%,46.04%,39.15%,58.70%,38.71%,19.09%,33.68%,34.32%,14.89%,22.65%,34.21%,37.34%,38.31%,43.89%,26.34%,35.91%,39.58%,36.63%,32.51%,28.14%,30.94%,26.72%,29.56%,29.22%,33.69%,21.98%,19.84%,24.55%,31.08%,30.37%,25.87%,18.04%,30.46%,39.99%,22.90%,38.18%,32.10%,23.34%
35.79%,38.48%,37.11%,454.26%,0.00%,26.34%,239.07%,200.00%,0.00%,0.00%,533.83%,221.81%,145.22%,246.02%,0.00%,0.00%,137.94%,0.00%,184.73%,0.00%,0.00%,0.00%,0.00%,196.67%,40.48%,154.04%,0.00%,0.00%,0.00%,0.00%,60.53%,296.70%,304.89%,473.35%,213.33%,770.47%,333.14%,377.52%,0.00%,448.52%,0.00%,170.13%,378.08%,886.42%,685.29%,643.16%,424.06%,898.20%,825.41%,479.07%,0.00%,323.32%,115.07%,100.00%,7.47%,92.44%,248.49%,460.46%,181.11%,262.65%,445.85%,272.02%,336.21%,132.93%,170.13%,122.29%,186.70%,433.30%,190.41%,300.32%,66.87%,0.00%,55.09%,976.78%,345.86%,0.00%,589.27%,406.90%,476.13%,139.82%,1583.18%,72.76%,77.79%
35.79%,38.48%,37.11%,188.36%,0.00%,26.34%,127.79%,141.42%,0.00%,0.00%,202.37%,109.42%,94.64%,120.19%,0.00%,0.00%,99.15%,0.00%,99.76%,0.00%,0.00%,0.00%,0.00%,139.08%,40.48%,110.53%,0.00%,0.00%,0.00%,0.00%,61.76%,136.16%,124.20%,161.14%,123.69%,197.19%,155.72%,161.52%,0.00%,157.42%,0.00%,98.84%,151.75%,176.30%,184.40%,184.84%,138.15%,221.97%,203.49%,165.21%,0.00%,150.34%,88.10%,100.00%,7.47%,92.44%,129.41%,162.66%,128.15%,136.17%,182.35%,127.67%,152.51%,78.06%,98.84%,79.04%,132.03%,154.42%,134.70%,150.87%,66.87%,0.00%,55.09%,284.51%,143.41%,0.00%,240.59%,159.78%,171.55%,100.63%,289.92%,73.11%,77.79%
68.7230258987105,-0.02886068679440208,-85.65923901761356,-3.8006652508884513,0.0,-30.96944130619702,-4.865131494878227,-32.183280385812594,-0.0,-0.0,-3.947612132893894,17.06638307133403,0.20785135477028718,-3.918555244073515,0.0,0.0,4.585267421518445,-0.0,2.833911826554823,-0.0,0.0,0.0,0.0,-0.9859596994351872,0.03524969151059506,-2.399496310802377,0.0,0.0,-0.0,-0.0,-153.7642166863661,-13.268861551742216,-13.323497225524177,-2.7319913968624503,9.920168934138237,8.52616001981039,2.0979919777194698,1.448811973889807,0.0,-14.645166246334897,0.0,4.517219505514393,6.352316900797501,3.692342169842638,-1.5988471569364588,-17.92691811375831,-4.725467861062777,-3.118273671265807,6.16401205984804,6.497437802621715,0.0,-2.772875869634458,-3.0906443167881563,-0.33168154280261486,-0.01598227430403386,-0.09231959907986517,0.3174514548720925,4.184362574703667,3.5702515141789664,-2.1006461251387716,-0.6635522653132185,1.9535593255092198,-39.54642621916525,0.17273715997263578,4.517219505514393,3.9348019739356723,-0.387025503918067,-24.597831317917255,-5.854721846704171,3.85993656457562,1.378894867929236,-0.0,1168.83196837793,10.439369483285077,-1.3556024956650186,0.0,-7.0641276385618745,-2.8845520419224906,3.3671336216326835,0.49154295627762196,-6.192370315034555,-0.22466516436955541,0.45229761872334556
67.90%,69.24%,68.55%,79.18%,100.00%,63.17%,67.81%,100.00%,100.00%,100.00%,79.23%,53.63%,61.31%,38.45%,100.00%,100.00%,79.31%,100.00%,47.46%,100.00%,100.00%,100.00%,100.00%,98.89%,70.24%,84.68%,100.00%,100.00%,100.00%,100.00%,53.51%,24.79%,44.99%,47.78%,78.33%,27.20%,54.14%,53.06%,100.00%,42.19%,100.00%,67.53%,47.81%,28.18%,23.80%,43.72%,19.41%,47.53%,48.71%,30.48%,100.00%,32.56%,71.69%,100.00%,53.73%,96.22%,38.72%,50.95%,93.70%,40.29%,77.98%,53.15%,72.70%,58.23%,67.53%,55.57%,95.57%,24.24%,96.80%,80.06%,83.44%,100.00%,77.55%,82.83%,63.69%,100.00%,98.47%,50.69%,64.01%,79.94%,23.06%,57.59%,88.90%
35.79%,38.48%,37.11%,188.36%,0.00%,26.34%,127.79%,141.42%,0.00%,0.00%,202.37%,109.42%,94.64%,120.19%,0.00%,0.00%,99.15%,0.00%,99.76%,0.00%,0.00%,0.00%,0.00%,139.08%,40.48%,110.53%,0.00%,0.00%,0.00%,0.00%,61.76%,136.16%,124.20%,161.14%,123.69%,197.19%,155.72%,161.52%,0.00%,157.42%,0.00%,98.84%,151.75%,176.30%,184.40%,184.84%,138.15%,221.97%,203.49%,165.21%,0.00%,150.34%,88.10%,100.00%,7.47%,92.44%,129.41%,162.66%,128.15%,136.17%,182.35%,127.67%,152.51%,78.06%,98.84%,79.04%,132.03%,154.42%,134.70%,150.87%,66.87%,0.00%,55.09%,284.51%,143.41%,0.00%,240.59%,159.78%,171.55%,100.63%,289.92%,73.11%,77.79%
57.694416450357544,141.07821572720368,73.13117198206217,61.197231247302945,54.154149956993635,53.94497405019802,46.218038883837956,74.97542295049864,61.37015657480065,59.43535225084674,46.49374154984383,155.19654107505207,125.9185501819591,46.28473832559758,33.20094492792934,43.40421071569899,39.709504822988826,58.36386142779252,104.43602613506408,58.95644384806188,99.65772633870505,120.56309374967184,150.23398594526228,98.24235420978,47.69177787557661,54.859663807948486,62.58502667375818,78.44987557918463,68.62140552142151,60.457767585415205,90.72030598307825,73.94830743862329,54.695624790235506,111.98343082348241,251.25075663680803,208.31041996337513,105.96861604885596,50.7354314287664,42.38261363825311,77.28973092114575,85.49969443398234,67.81219168311856,33.52725191653496,79.107919294502,53.85105439177209,85.0002362611096,61.17360982907922,56.5325700042845,20.967297934645874,53.537712981886834,73.45017525029998,49.61651843412982,46.08172003041835,94.89404122016396,72.78576944516632,32.40231923331805,46.379294796289585,40.99195125429794,38.677252517303046,83.94386435903435,57.011442740219834,44.368768181964164,57.48542797651466,60.47881807049094,67.81219168311856,81.92299224837421,70.2063871427153,137.66457902195646,58.56983961408137,42.8717631810973,115.1476028628379,63.782705609203305,64.17570988897049,70.06208875159793,100.8736418718147,82.45127798148388,111.36523033430267,67.86094164604175,48.83603977097202,80.46974598582905,86.86868425029834,52.79805477793606,66.1357137112519
